zip,city,ev_2025,ev_2021,station_count,l2_ports,dcfc_ports,total_ports,total_ports_2021,ports_within_radius,evs_within_radius,evs_per_port_nearby,access_class,evs_per_port,vs_state_avg,evs_added,ports_added,service_category
95369,,16,2,0,0,0,0,0,0.0,681.0,,"Fewer than 1,000 EVs",,,14,0,"Fewer than 1,000 EVs"
95370,Sonora,494,120,7,13,8,21,2,38.0,649.0,17.07894736842105,"Fewer than 1,000 EVs",23.523809523809526,0.7068993042457254,374,19,"Fewer than 1,000 EVs"
95372,,47,9,0,0,0,0,0,34.0,754.0,22.176470588235293,"Fewer than 1,000 EVs",,,38,0,"Fewer than 1,000 EVs"
95373,,1,0,0,0,0,0,0,,,,No location data,,,1,0,"Fewer than 1,000 EVs"
95374,,24,4,0,0,0,0,0,22.0,693.0,31.5,"Fewer than 1,000 EVs",,,20,0,"Fewer than 1,000 EVs"
95375,,2,0,0,0,0,0,0,0.0,16.0,,"Fewer than 1,000 EVs",,,2,0,"Fewer than 1,000 EVs"
95376,Tracy,1818,426,17,30,24,54,2,174.0,13964.0,80.25287356321839,Locally fine - crowded region,33.666666666666664,1.0116959678172628,1392,52,Below average
95377,Tracy,3876,615,17,38,6,44,0,139.0,10784.0,77.58273381294964,Isolated - underserved by both measures,88.0909090909091,2.647164877088014,3261,44,Below average
95378,,23,5,0,0,0,0,0,,,,No location data,,,18,0,"Fewer than 1,000 EVs"
95379,Tuolumne,44,7,1,8,0,8,8,48.0,704.0,14.666666666666666,"Fewer than 1,000 EVs",5.5,0.16527706404935483,37,0,"Fewer than 1,000 EVs"
95380,Turlock,833,167,17,26,28,54,7,95.0,3783.0,39.82105263157895,"Fewer than 1,000 EVs",15.425925925925926,0.46355486314179317,666,47,"Fewer than 1,000 EVs"
95381,,25,3,0,0,0,0,0,,,,No location data,,,22,0,"Fewer than 1,000 EVs"
95382,Turlock,1364,263,4,9,0,9,9,103.0,4648.0,45.12621359223301,Locally sparse - chargers nearby,151.55555555555554,4.554301320471111,1101,0,Severely underserved (>3x state avg)
95383,Twain Harte,93,21,1,2,0,2,2,10.0,271.0,27.1,"Fewer than 1,000 EVs",46.5,1.3973424505990908,72,0,"Fewer than 1,000 EVs"
95385,,4,1,0,0,0,0,0,4.0,4218.0,1054.5,"Fewer than 1,000 EVs",,,3,0,"Fewer than 1,000 EVs"
95386,Waterford,171,40,1,2,0,2,2,2.0,349.0,174.5,"Fewer than 1,000 EVs",85.5,2.569307086585425,131,0,"Fewer than 1,000 EVs"
95387,Westley,15,1,2,0,4,4,0,48.0,443.0,9.229166666666666,"Fewer than 1,000 EVs",3.75,0.11268890730637829,14,4,"Fewer than 1,000 EVs"
95388,,141,31,0,0,0,0,0,58.0,2068.0,35.6551724137931,"Fewer than 1,000 EVs",,,110,0,"Fewer than 1,000 EVs"
95389,Yosemite National Park,33,2,9,79,0,79,1,79.0,33.0,0.4177215189873418,"Fewer than 1,000 EVs",0.4177215189873418,0.01255268840881176,31,78,"Fewer than 1,000 EVs"
95391,Mountain House,4304,1019,1,12,0,12,12,200.0,13707.0,68.535,Isolated - underserved by both measures,358.6666666666667,10.778067934370048,3285,0,Severely underserved (>3x state avg)
95401,Santa Rosa,1231,489,20,32,32,64,50,479.0,14982.0,31.2776617954071,Well served,19.234375,0.5780001870589653,742,14,At or above average
95402,Santa Rosa,40,18,1,1,0,1,0,,,,No location data,40.0,1.202015011268035,22,1,"Fewer than 1,000 EVs"
95403,Santa Rosa,2223,640,29,97,6,103,20,433.0,14527.0,33.54965357967667,Well served,21.58252427184466,0.64856295389535,1583,83,At or above average
95404,Santa Rosa,2671,890,11,21,0,21,11,489.0,14094.0,28.822085889570552,Locally sparse - chargers nearby,127.19047619047619,3.8221215417820495,1781,10,Severely underserved (>3x state avg)
95405,Santa Rosa,1248,523,4,7,0,7,5,458.0,14551.0,31.770742358078603,Locally sparse - chargers nearby,178.28571428571428,5.357552621651814,725,2,Severely underserved (>3x state avg)
95406,,14,4,0,0,0,0,0,,,,No location data,,,10,0,"Fewer than 1,000 EVs"
95407,Santa Rosa,1097,349,30,58,10,68,12,520.0,15278.0,29.380769230769232,Well served,16.13235294117647,0.48478326005920386,748,56,At or above average
95409,Santa Rosa,1771,599,1,2,0,2,0,412.0,11488.0,27.883495145631063,Locally sparse - chargers nearby,885.5,26.609607311946128,1172,2,Severely underserved (>3x state avg)
95410,,61,28,0,0,0,0,0,37.0,325.0,8.783783783783784,"Fewer than 1,000 EVs",,,33,0,"Fewer than 1,000 EVs"
95412,Annapolis,9,5,1,2,0,2,0,10.0,92.0,9.2,"Fewer than 1,000 EVs",4.5,0.13522668876765395,4,2,"Fewer than 1,000 EVs"
95413,,2,0,0,0,0,0,0,,,,No location data,,,2,0,"Fewer than 1,000 EVs"
95415,Boonville,40,15,1,6,0,6,0,11.0,91.0,8.272727272727273,"Fewer than 1,000 EVs",6.666666666666667,0.20033583521133919,25,6,"Fewer than 1,000 EVs"
95416,,10,7,0,0,0,0,0,,,,No location data,,,3,0,"Fewer than 1,000 EVs"
95418,,6,0,0,0,0,0,0,,,,No location data,,,6,0,"Fewer than 1,000 EVs"
95419,,16,7,0,0,0,0,0,77.0,4753.0,61.72727272727273,"Fewer than 1,000 EVs",,,9,0,"Fewer than 1,000 EVs"
95420,,30,15,0,0,0,0,0,66.0,620.0,9.393939393939394,"Fewer than 1,000 EVs",,,15,0,"Fewer than 1,000 EVs"
95421,,63,28,0,0,0,0,0,6.0,90.0,15.0,"Fewer than 1,000 EVs",,,35,0,"Fewer than 1,000 EVs"
95422,Clearlake,167,33,1,3,0,3,0,6.0,502.0,83.66666666666667,"Fewer than 1,000 EVs",55.666666666666664,1.672804224014682,134,3,"Fewer than 1,000 EVs"
95423,Clearlake Oaks,49,20,1,3,0,3,3,6.0,254.0,42.333333333333336,"Fewer than 1,000 EVs",16.333333333333332,0.49082279626778097,29,0,"Fewer than 1,000 EVs"
95424,,4,0,0,0,0,0,0,,,,No location data,,,4,0,"Fewer than 1,000 EVs"
95425,Cloverdale,400,175,5,6,2,8,2,16.0,562.0,35.125,"Fewer than 1,000 EVs",50.0,1.502518764085044,225,6,"Fewer than 1,000 EVs"
95426,,51,17,0,0,0,0,0,11.0,374.0,34.0,"Fewer than 1,000 EVs",,,34,0,"Fewer than 1,000 EVs"
95427,,19,13,0,0,0,0,0,4.0,305.0,76.25,"Fewer than 1,000 EVs",,,6,0,"Fewer than 1,000 EVs"
95428,,13,6,0,0,0,0,0,0.0,13.0,,"Fewer than 1,000 EVs",,,7,0,"Fewer than 1,000 EVs"
95429,,3,0,0,0,0,0,0,12.0,39.0,3.25,"Fewer than 1,000 EVs",,,3,0,"Fewer than 1,000 EVs"
95430,,5,4,0,0,0,0,0,39.0,1076.0,27.58974358974359,"Fewer than 1,000 EVs",,,1,0,"Fewer than 1,000 EVs"
95431,,3,2,0,0,0,0,0,321.0,8568.0,26.69158878504673,"Fewer than 1,000 EVs",,,1,0,"Fewer than 1,000 EVs"
95432,Elk,20,9,2,3,0,3,3,12.0,160.0,13.333333333333334,"Fewer than 1,000 EVs",6.666666666666667,0.20033583521133919,11,0,"Fewer than 1,000 EVs"
95433,,8,3,0,0,0,0,0,,,,No location data,,,5,0,"Fewer than 1,000 EVs"
95435,,0,1,0,0,0,0,0,7.0,539.0,77.0,"Fewer than 1,000 EVs",,,-1,0,"Fewer than 1,000 EVs"
95436,Forestville,325,136,5,9,0,9,3,288.0,9594.0,33.3125,"Fewer than 1,000 EVs",36.111111111111114,1.0851524407280873,189,6,"Fewer than 1,000 EVs"
95437,Fort Bragg,374,174,10,15,14,29,5,32.0,404.0,12.625,"Fewer than 1,000 EVs",12.89655172413793,0.3875462191502113,200,24,"Fewer than 1,000 EVs"
95438,Fulton,0,0,1,2,0,2,2,,,,No location data,0.0,0.0,0,0,"Fewer than 1,000 EVs"
95439,Fulton,18,13,2,3,0,3,3,456.0,14527.0,31.857456140350877,"Fewer than 1,000 EVs",6.0,0.18030225169020525,5,0,"Fewer than 1,000 EVs"
95441,Geyserville,119,52,5,9,8,17,7,41.0,519.0,12.658536585365852,"Fewer than 1,000 EVs",7.0,0.21035262697190615,67,10,"Fewer than 1,000 EVs"
95442,Glen Ellen,242,85,5,7,1,8,4,232.0,12487.0,53.82327586206897,"Fewer than 1,000 EVs",30.25,0.9090238522714515,157,4,"Fewer than 1,000 EVs"
95443,,3,1,0,0,0,0,0,10.0,520.0,52.0,"Fewer than 1,000 EVs",,,2,0,"Fewer than 1,000 EVs"
95444,,83,38,0,0,0,0,0,426.0,9389.0,22.039906103286384,"Fewer than 1,000 EVs",,,45,0,"Fewer than 1,000 EVs"
95445,,148,73,0,0,0,0,0,0.0,293.0,,"Fewer than 1,000 EVs",,,75,0,"Fewer than 1,000 EVs"
