zip,ev_2025,ev_2021,station_count,l2_ports,dcfc_ports,total_ports,total_ports_2021,city
93041,519,112,7,12,0,12,2,Port Hueneme
93042,2,1,0,0,0,0,0,
93043,3,1,0,0,0,0,0,
93044,8,1,0,0,0,0,0,
93060,737,148,7,8,6,14,2,Santa Paula
93061,4,2,0,0,0,0,0,
93062,12,3,0,0,0,0,0,
93063,3543,1009,4,12,24,36,4,Simi Valley
93064,2,1,0,0,0,0,0,
93065,5173,1433,11,23,37,60,31,Simi Valley
93066,217,86,1,1,0,1,1,Somis
93067,77,19,0,0,0,0,0,
93085,0,1,0,0,0,0,0,
93094,6,2,0,0,0,0,0,
93101,1216,396,45,82,31,113,24,Santa Barbara
93102,22,5,0,0,0,0,0,
93103,1022,329,6,16,2,18,12,Santa Barbara
93105,2006,684,6,6,22,28,6,Santa Barbara
93106,69,26,11,22,0,22,6,Santa Barbara
93108,1533,554,11,26,8,34,10,Santa Barbara
93109,849,328,8,16,0,16,4,Santa Barbara
93110,1220,403,6,41,0,41,5,Santa Barbara
93111,1254,383,5,7,0,7,0,Goleta
93116,10,4,0,0,0,0,0,
93117,1977,584,35,80,18,98,37,Goleta
93118,3,0,0,0,0,0,0,
93120,7,5,0,0,0,0,0,
93121,5,0,0,0,0,0,0,
93130,24,5,0,0,0,0,0,
93140,14,4,0,0,0,0,0,
93150,32,0,0,0,0,0,0,
93160,8,2,0,0,0,0,0,
93190,6,2,0,0,0,0,0,
93201,6,1,0,0,0,0,0,
93202,43,4,0,0,0,0,0,
93203,215,32,7,39,78,117,10,Arvin
93204,80,23,4,3,8,11,0,Avenal
93205,11,4,0,0,0,0,0,
93206,9,5,7,0,44,44,10,Buttonwillow
93207,5,0,0,0,0,0,0,
93210,164,41,11,9,107,116,25,Coalinga
93212,90,25,0,0,0,0,0,
93215,479,66,10,23,14,37,6,Delano
93216,12,7,0,0,0,0,0,
93218,7,0,0,0,0,0,0,
93219,49,11,0,0,0,0,0,
93220,3,1,0,0,0,0,0,
93221,264,60,3,5,0,5,0,Exeter
93222,94,30,0,0,0,0,0,
93223,78,14,5,8,0,8,0,Farmersville
93224,4,3,0,0,0,0,0,
93225,174,53,0,0,0,0,0,
93226,2,1,0,0,0,0,0,
93227,1,0,0,0,0,0,0,
93230,1230,237,46,70,9,79,12,Hanford
93232,9,2,0,0,0,0,0,
93234,64,11,4,6,0,6,2,Huron
93235,37,4,0,0,0,0,0,
93238,21,16,0,0,0,0,0,
93239,9,3,7,3,113,116,40,Kettleman City
93240,52,19,0,0,0,0,0,
93241,97,15,3,11,0,11,0,Lamont
93242,24,8,0,0,0,0,0,
93243,27,6,6,4,64,68,26,Lebec
93244,6,2,0,0,0,0,0,
93245,508,105,6,20,1,21,10,Lemoore
93246,5,3,1,0,10,10,0,Highland
93247,167,50,6,18,6,24,0,Lindsay
93249,19,6,7,35,189,224,1,Lost Hills
93250,138,31,6,6,10,16,0,McFarland
93251,1,0,0,0,0,0,0,
93252,5,2,0,0,0,0,0,
93254,8,3,2,7,0,7,0,New Cuyama
93255,5,1,0,0,0,0,0,
93256,39,6,0,0,0,0,0,
93257,816,144,9,30,12,42,6,Porterville
93258,19,1,0,0,0,0,0,
93260,1,1,0,0,0,0,0,
93261,12,2,0,0,0,0,0,
93262,3,1,0,0,0,0,0,
93263,565,58,4,34,1,35,0,Shafter
93265,98,31,0,0,0,0,0,
93266,12,5,0,0,0,0,0,
93267,49,16,0,0,0,0,0,
93268,102,23,2,5,0,5,1,Taft
93270,49,9,0,0,0,0,0,
93271,59,20,2,3,0,3,2,Three Rivers
93272,21,7,0,0,0,0,0,
93274,1061,193,11,28,9,37,8,Tulare
93275,2,2,0,0,0,0,0,
93277,859,203,10,26,12,38,2,Visalia
93278,5,0,0,0,0,0,0,
93279,17,1,0,0,0,0,0,
93280,221,54,5,12,2,14,0,Wasco
93283,17,4,0,0,0,0,0,
93285,32,8,0,0,0,0,0,
93286,96,22,5,8,0,8,0,Woodlake
93287,2,0,0,0,0,0,0,
93290,22,6,0,0,0,0,0,
93291,1665,342,26,37,41,78,2,Visalia
93292,773,181,11,15,5,20,4,Visalia
93301,287,94,51,89,15,104,6,Bakersfield
93302,3,0,0,0,0,0,0,
93303,9,2,0,0,0,0,0,
93304,362,78,5,20,6,26,0,Bakersfield
93305,243,56,3,11,8,19,0,Bakersfield
93306,1146,250,4,22,2,24,0,Bakersfield
93307,670,122,6,8,2,10,0,Bakersfield
93308,717,153,21,31,97,128,2,Bakersfield
93309,860,187,10,32,16,48,4,Bakersfield
93311,2539,490,17,24,22,46,6,Bakersfield
93312,1634,368,2,5,8,13,0,Bakersfield
93313,1532,228,16,32,27,59,6,Bakersfield
93314,1436,267,2,2,10,12,10,Bakersfield
93341,1,0,0,0,0,0,0,
93351,1,0,0,0,0,0,0,
93380,10,5,0,0,0,0,0,
93383,3,0,0,0,0,0,0,
93384,10,2,0,0,0,0,0,
93385,1,1,0,0,0,0,0,
93386,4,2,0,0,0,0,0,
93387,4,1,0,0,0,0,0,
93388,3,1,0,0,0,0,0,
93389,13,5,0,0,0,0,0,
93390,19,5,0,0,0,0,0,
93401,2349,702,83,146,36,182,30,San Luis Obispo
93402,806,267,1,0,15,15,0,Baywood-Los Osos
93403,19,6,1,40,0,40,40,San Luis Obispo
93405,1025,311,23,44,49,93,30,San Luis Obispo
93406,26,9,0,0,0,0,0,
93407,15,2,12,23,0,23,2,San Luis Obispo
